,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
73,73,0,0,0,,1.0,3.0,2.0,3.0,8.0,8.5,10.2,12.0,14.7,10.6,800.0,860.0,1100.0,1280.0,1350.0,1092.0,103.0,207.0,,0.0
74,74,0,0,0,,3.0,3.0,2.0,4.0,11.6,13.0,16.1,19.3,22.2,16.2,325.0,385.0,450.0,520.0,580.0,459.0,28.0,637.0,,0.0
75,75,0,0,0,,3.0,3.0,2.0,5.0,10.0,11.4,13.2,16.3,18.8,13.4,470.0,528.0,600.0,651.0,730.0,607.0,45.0,799.0,,0.0
76,76,0,0,0,,3.0,3.0,2.0,6.0,9.1,10.0,11.0,12.4,14.4,11.2,620.0,650.0,704.0,802.0,934.0,752.0,67.0,870.0,,0.0
77,77,0,0,0,,3.0,3.0,2.0,7.0,7.7,8.8,9.8,12.0,13.4,10.5,600.0,652.0,816.0,1141.0,1520.0,947.0,90.0,526.0,,0.0
78,78,0,0,0,,,4.0,,,10.6,11.9,14.2,17.3,20.3,13.6,460.0,582.0,745.0,949.0,1330.0,834.0,61.0,4363.0,,0.0
79,79,0,0,0,,2.0,4.0,,2.0,9.4,10.5,11.5,14.1,15.8,12.2,876.0,1000.0,1200.0,1450.0,2000.0,1319.0,108.0,620.0,,0.0
80,80,0,0,0,,2.0,4.0,,8.0,14.2,17.0,20.0,22.2,25.6,19.3,350.0,400.0,460.0,500.0,600.0,461.0,24.0,866.0,,0.0
81,81,0,0,0,,2.0,4.0,,9.0,12.4,13.9,15.6,17.7,19.4,15.5,529.0,582.0,650.0,704.0,770.0,646.0,42.0,1686.0,,0.0
82,82,0,0,0,,2.0,4.0,,10.0,10.6,11.5,12.7,14.1,15.0,12.8,677.0,757.0,820.0,901.0,1080.0,848.0,66.0,1191.0,,0.0
83,83,0,0,0,,,4.0,1.0,,11.1,12.3,14.7,17.6,20.6,13.8,425.0,565.0,700.0,900.0,1300.0,813.0,59.0,1119.0,,0.0
84,84,0,0,0,,1.0,4.0,1.0,1.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,25.0,,0.0
85,85,0,0,0,,1.0,4.0,1.0,3.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,49.0,,0.0
86,86,0,0,0,,3.0,4.0,1.0,4.0,14.2,14.2,19.5,21.7,23.6,18.4,350.0,390.0,425.0,500.0,550.0,445.0,24.0,221.0,,0.0
87,87,0,0,0,,3.0,4.0,1.0,5.0,11.5,13.3,15.9,17.6,21.1,15.5,520.0,600.0,655.0,740.0,790.0,654.0,42.0,458.0,,0.0
88,88,0,0,0,,3.0,4.0,1.0,6.0,10.6,11.5,12.5,15.0,16.3,12.9,649.0,750.0,850.0,925.0,1090.0,865.0,67.0,259.0,,0.0
89,89,0,0,0,,3.0,4.0,1.0,7.0,10.1,10.1,11.4,12.8,15.1,12.1,863.0,870.0,1200.0,1450.0,1700.0,1207.0,100.0,107.0,,0.0
