Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 1P;14,2;14,2;19,5;21,7;23,6;18,4;350;390;425;500;550;445;24;221;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 2P;11,5;13,3;15,9;17,6;21,1;15,5;520;600;655;740;790;654;42;458;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 3P;10,6;11,5;12,5;15,0;16,3;12,9;649;750;850;925;1090;865;67;259;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 4P+;10,1;10,1;11,4;12,8;15,1;12,1;863;870;1200;1450;1700;1207;100;107;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;;10,5;11,7;14,1;17,1;20,3;13,5;480;587;760;957;1330;842;63;3244;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Maison 1-3P;11,8;12,3;12,3;14,3;16,7;13,1;669;800;800;918;1034;841;64;57;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Maison 4P+;8,7;10,3;11,1;15,8;19,5;12,4;1000;1186;1330;1700;2530;1471;119;148;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Appart 1P;15,6;17,6;20,0;22,2;25,6;19,7;340;400;480;518;620;468;24;641;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Appart 2P;12,4;13,9;15,6;17,7;19,2;15,4;530;568;630;700;760;640;42;1200;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Appart 3P;10,5;11,6;12,8;14,0;15,0;12,7;671;760;820;900;1077;839;66;882;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;2. 1 an et plus;Appart 4P+;9,7;10,5;11,5;12,1;14,5;11,8;790;893;937;1084;1357;1036;88;316;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;;;10,6;11,8;13,4;15,1;16,6;13,1;520;614;750;900;1100;793;60;6887;216783;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;;Ensemble 4P+;9,8;10,7;12,1;13,3;14,6;12,1;850;980;1100;1320;1565;1154;95;640;47153;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;;Ensemble 1P;12,2;13,4;15,0;17,1;20,7;15,4;280;400;470;531;600;462;30;575;30102;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;;Ensemble 2P;11,8;13,4;14,8;16,0;17,4;14,6;508;555;625;690;730;621;43;2852;66915;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;;Ensemble 3P;10,3;11,6;12,9;14,2;16,0;12,8;666;735;800;900;990;822;64;2820;72614;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;;11,2;12,6;14,1;15,6;17,3;13,8;530;615;750;900;1250;815;59;2505;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;30;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;37;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Appart 1P;13,3;13,8;15,0;17,8;22,5;15,9;381;430;525;550;560;494;31;226;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Appart 2P;12,7;14,3;15,3;16,4;17,4;15,2;535;560;630;681;727;628;41;1122;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Appart 3P;11,1;11,9;13,1;14,1;15,8;13,2;700;750;830;900;980;839;64;941;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;1. Moins de 1 an;Appart 4P+;10,0;10,7;12,1;12,9;14,2;11,9;890;930;1030;1163;1280;1066;90;149;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;;10,2;11,6;13,1;14,7;16,3;12,7;500;611;750;914;1062;780;61;4382;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;40;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Maison 4P+;9,8;9,8;12,3;13,3;13,3;11,8;1020;1020;1168;1290;1400;1215;103;94;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Appart 1P;12,2;12,8;14,7;16,7;18,3;14,9;280;348;446;506;600;433;29;347;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Appart 2P;11,7;13,0;14,4;15,7;17,4;14,3;495;550;619;697;740;617;43;1721;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Appart 3P;10,3;11,3;12,5;14,1;14,9;12,5;660;721;793;880;977;802;64;1820;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;5. Après 2005;2. 1 an et plus;Appart 4P+;8,8;10,6;10,9;12,4;13,0;11,0;748;850;977;981;1170;970;88;360;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;;;8,0;10,0;12,0;14,5;16,5;11,7;580;742;980;1250;1503;1038;89;1616;31623;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;;Maison 1-3P;9,6;10,9;12,7;15,1;18,8;12,5;520;600;750;880;1003;759;61;656;14842;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;;Maison 4P+;7,7;9,4;11,2;14,0;16,0;11,3;800;1000;1212;1400;1700;1270;112;960;16782;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;1. Moins de 1 an;;9,0;11,1;13,8;14,8;17,4;13,0;655;700;1100;1400;1600;1116;86;433;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;1. Moins de 1 an;Maison 1-3P;9,8;11,0;13,6;16,3;19,4;13,3;551;655;700;900;1150;799;60;201;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;1. Moins de 1 an;Maison 4P+;9,0;11,1;13,8;14,5;16,5;12,8;900;1180;1334;1565;1700;1366;107;232;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;2. 1 an et plus;;7,7;9,8;11,8;13,6;16,3;11,3;580;750;978;1221;1400;1014;90;1183;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;2. 1 an et plus;Maison 1-3P;9,6;10,7;12,5;15,0;17,3;12,3;510;580;750;864;1000;748;61;455;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;;2. 1 an et plus;Maison 4P+;7,6;9,0;11,0;13,3;16,0;10,9;800;1000;1168;1330;1700;1240;114;728;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;1. Avant 1946;;;7,6;10,0;11,5;14,1;18,8;10,9;528;600;775;1003;1230;847;78;465;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;1. Avant 1946;;Maison 1-3P;9,0;10,5;12,2;14,5;20,0;11,8;510;577;655;817;950;704;59;251;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;1. Avant 1946;;Maison 4P+;5,7;8,1;10,5;13,3;14,8;9,7;940;1046;1212;1250;1400;1210;125;214;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;1. Avant 1946;1. Moins de 1 an;;8,1;10,7;13,2;14,6;16,4;12,4;551;655;814;1100;1400;919;74;138;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;Maison;1. Avant 1946;2. 1 an et plus;;7,6;9,8;10,9;13,6;18,8;10,3;510;580;775;1000;1212;817;80;327;;Estimation directe
